City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Gizo,SB,83.64,clear sky,-8.103,156.8419,Imagination Island
330,Uruzgan,AF,78.13,clear sky,32.8333,66.0,
332,La Asuncion,VE,78.35,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
335,Biak,ID,77.16,broken clouds,-0.9131,122.8766,Penginapan Kim
336,Popondetta,PG,84.15,scattered clouds,-8.7537,148.2534,Timos Transit House
339,Maumere,ID,78.35,overcast clouds,-8.6199,122.2111,Sylvia Hotel
341,Labuhan,ID,74.97,scattered clouds,-6.8844,112.2051,DoubleFAG
342,Homnabad,IN,73.2,overcast clouds,17.7667,77.1333,Marthand Vilas
346,Birjand,IR,79.16,clear sky,32.8663,59.2211,Birjand Tourist Hotel
347,Horadiz,AZ,76.41,clear sky,39.4488,47.3353,Horadiz Olympic Center
352,Yaan,NG,73.89,moderate rain,7.3833,8.5667,
354,Sibolga,ID,74.28,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
355,Axim,GH,76.41,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
356,Shu,KZ,77.36,broken clouds,43.5983,73.7614,Shyngyzkhan
358,Plainview,US,79.83,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
360,Bethel,US,80.64,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
361,Cap Malheureux,MU,69.48,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
364,Extremoz,BR,72.05,light rain,-5.7056,-35.3072,Pousada Três Coqueiros
365,Amahai,ID,79.52,broken clouds,-3.3333,128.9167,HOTEL ISABELA
366,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
367,Ust-Omchug,RU,67.73,overcast clouds,61.15,149.6333,
368,Guerrero Negro,MX,79.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
371,Half Moon Bay,US,79.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
372,Lakhimpur,IN,79.74,moderate rain,27.95,80.7667,Hotel Landmark Royale & Funn Mall Lakhimpur Kheri
373,Faya,SA,73.92,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
376,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
377,Yumen,CN,74.34,overcast clouds,40.2833,97.2,
378,Yatou,CN,72.72,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
