City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
149,Azare,NG,11.6765,10.1948,81.48,58,89,5.86,overcast clouds,2022-06-29 23:05:53
150,Mafeteng,LS,-29.823,27.2374,38.48,47,0,1.61,clear sky,2022-06-29 23:05:54
151,Nanortalik,GL,60.1432,-45.2371,39.6,97,100,12.93,overcast clouds,2022-06-29 23:05:54
152,Khipro,PK,25.8285,69.3772,85.44,72,100,21.68,overcast clouds,2022-06-29 23:05:55
153,Payo,ID,-3.7508,103.6372,71.92,98,100,1.1,overcast clouds,2022-06-29 23:05:55
154,Portland,US,45.5234,-122.6762,80.64,47,20,11.5,few clouds,2022-06-29 23:05:53
155,Fare,PF,-16.7,-151.0167,79.99,69,7,17.6,clear sky,2022-06-29 23:05:55
156,Port Blair,IN,11.6667,92.75,81.88,80,99,11.3,overcast clouds,2022-06-29 23:05:56
157,La Ronge,CA,55.1001,-105.2842,62.82,77,75,8.05,broken clouds,2022-06-29 23:05:56
158,Male,MV,4.1748,73.5089,81.07,79,82,17.87,heavy intensity rain,2022-06-29 23:02:37
159,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,75,12.66,light rain,2022-06-29 23:05:57
160,Beyneu,KZ,45.3167,55.2,71.02,23,2,12.21,clear sky,2022-06-29 23:05:57
161,Sumbe,AO,-11.2061,13.8437,69.67,83,65,7.74,broken clouds,2022-06-29 23:05:58
162,Lima,PE,-12.0432,-77.0282,65.89,70,0,10.36,clear sky,2022-06-29 23:05:00
163,Madimba,TZ,-10.4,40.3333,68.85,86,51,9.42,broken clouds,2022-06-29 23:05:59
164,Atuona,PF,-9.8,-139.0333,77.76,77,28,22.12,scattered clouds,2022-06-29 23:05:59
165,Saldanha,ZA,-33.0117,17.9442,60.94,53,3,9.91,clear sky,2022-06-29 23:05:59
166,Beringovskiy,RU,63.05,179.3167,47.16,83,20,16.87,few clouds,2022-06-29 23:06:00
167,Luderitz,NA,-26.6481,15.1594,69.1,37,0,20.29,clear sky,2022-06-29 23:06:00
168,Pacific Grove,US,36.6177,-121.9166,81.25,75,20,11.5,few clouds,2022-06-29 23:06:01
169,Mitu,CO,1.1983,-70.1733,73.4,95,51,1.28,broken clouds,2022-06-29 23:06:02
170,Ilulissat,GL,69.2167,-51.1,42.82,75,100,6.91,overcast clouds,2022-06-29 23:06:03
171,North Myrtle Beach,US,33.816,-78.68,80.69,79,20,8.05,few clouds,2022-06-29 23:06:03
172,Shubarshi,KZ,48.5872,57.1869,54.43,63,0,7.63,clear sky,2022-06-29 23:06:04
173,Yuncheng,CN,35.0231,110.9928,79.65,54,0,3.98,clear sky,2022-06-29 23:06:04
174,Thompson,CA,55.7435,-97.8558,54.36,66,100,8.86,overcast clouds,2022-06-29 23:06:05
175,Sur,OM,22.5667,59.5289,85.6,72,88,14.32,overcast clouds,2022-06-29 23:06:06
176,Shikhazany,RU,55.5605,47.393,50.29,76,30,7.36,scattered clouds,2022-06-29 23:06:07
177,East London,ZA,-33.0153,27.9116,61.97,36,8,5.84,clear sky,2022-06-29 23:06:07
178,Manzhouli,CN,49.6,117.4333,77.29,44,3,4.88,clear sky,2022-06-29 23:06:08
179,San Patricio,US,28.017,-97.5169,91.49,74,73,19.37,broken clouds,2022-06-29 23:06:08
