City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Garowe,SO,2022-06-29 20:31:48,8.4054,48.4845,79.83,49,32,27.72
192,Barcelona,ES,2022-06-29 20:27:27,41.3888,2.159,78.82,83,20,6.91
193,Codrington,AU,2022-06-29 20:31:48,-38.2667,141.9667,46.09,91,97,4.72
194,Amparafaravola,MG,2022-06-29 20:31:48,-17.5833,48.2167,58.48,82,88,8.55
195,Kahului,US,2022-06-29 20:29:51,20.8947,-156.47,82.42,67,20,21.85
196,Songea,TZ,2022-06-29 20:31:49,-10.6833,35.65,54.97,89,21,0.74
197,Khatanga,RU,2022-06-29 20:31:50,71.9667,102.5,48.06,57,4,10.98
198,Togur,RU,2022-06-29 20:31:50,58.3631,82.8265,59.43,97,100,13.96
199,Ballina,AU,2022-06-29 20:31:50,-28.8667,153.5667,55.02,97,89,5.41
200,Masunga,BW,2022-06-29 20:31:51,-20.6246,27.4488,50.85,80,100,12.39
201,Norman Wells,CA,2022-06-29 20:31:51,65.282,-126.8329,73.44,49,40,2.3
202,Paracuru,BR,2022-06-29 20:31:52,-3.41,-39.0306,82.11,82,92,8.7
203,Whitianga,NZ,2022-06-29 20:31:52,-36.8333,175.7,50.79,91,67,9.84
204,Lavrentiya,RU,2022-06-29 20:31:53,65.5833,-171.0,47.79,80,96,11.45
205,Zaltan,LY,2022-06-29 20:31:53,32.947,11.8665,79.3,73,80,10.49
206,San Miguel,SV,2022-06-29 20:31:53,13.4833,-88.1833,92.86,55,20,6.91
207,Cidreira,BR,2022-06-29 20:31:54,-30.1811,-50.2056,55.56,73,0,11.54
208,Kotido,UG,2022-06-29 20:31:54,2.9806,34.1331,70.16,69,98,4.7
209,Camopi,GF,2022-06-29 20:31:55,3.1655,-52.3158,71.4,100,100,1.5
210,Zunyi,CN,2022-06-29 20:31:55,27.6867,106.9072,70.47,82,22,1.79
211,San Anselmo,US,2022-06-29 20:31:56,37.9747,-122.5616,83.14,72,0,13.8
212,Hirara,JP,2022-06-29 20:31:56,24.8,125.2833,82.81,75,3,20.54
213,Bom Jesus,BR,2022-06-29 20:31:57,-9.0744,-44.3586,81.21,31,14,4.88
214,Cabedelo,BR,2022-06-29 20:31:57,-6.9811,-34.8339,74.07,87,61,13.53
215,Kalmunai,LK,2022-06-29 20:31:58,7.4167,81.8167,80.67,77,74,3.49
216,Pisco,PE,2022-06-29 20:30:44,-13.7,-76.2167,66.25,68,0,10.36
217,Serenje,ZM,2022-06-29 20:31:58,-13.2325,30.2352,52.48,95,95,9.89
218,Khani,GE,2022-06-29 20:31:58,41.9563,42.9566,62.17,99,97,1.45
219,Brae,GB,2022-06-29 20:31:59,60.3964,-1.353,56.41,85,96,17.65
220,Pedernales,DO,2022-06-29 20:32:00,18.0384,-71.744,86.77,59,100,5.35
221,Gornopravdinsk,RU,2022-06-29 20:32:00,60.05,69.9,47.39,68,100,14.47
222,The Valley,AI,2022-06-29 20:32:00,18.217,-63.0578,84.81,74,20,20.71
223,Nizhnyaya Tura,RU,2022-06-29 20:32:01,58.6293,59.8118,42.71,76,51,3.67
224,Nur,PL,2022-06-29 20:32:02,52.6683,22.3221,67.84,96,11,6.67
225,Aitape,PG,2022-06-29 20:32:02,-3.1374,142.3475,77.29,84,66,5.32
226,Monte Alegre,BR,2022-06-29 20:32:03,-2.0078,-54.0692,78.28,86,100,4.88
227,Misratah,LY,2022-06-29 20:32:03,32.3754,15.0925,84.56,51,14,10.25
228,Coquimbo,CL,2022-06-29 20:32:04,-29.9533,-71.3436,60.53,72,0,12.66
229,Loukhi,RU,2022-06-29 20:32:05,66.0764,33.0381,63.01,63,36,5.61
230,Diamantino,BR,2022-06-29 20:32:06,-14.4086,-56.4461,80.65,37,16,2.93
231,Russell,US,2022-06-29 20:32:07,32.3502,-85.1999,90.97,52,40,6.91
232,Sitka,US,2022-06-29 20:33:07,57.0531,-135.33,57.09,82,100,11.5
233,Tullahoma,US,2022-06-29 20:33:07,35.362,-86.2094,88.38,60,75,6.91
234,Eureka,US,2022-06-29 20:33:08,40.8021,-124.1637,66.13,76,14,4.0
235,Lompoc,US,2022-06-29 20:33:08,34.6391,-120.4579,77.85,67,0,17.27
236,Barabinsk,RU,2022-06-29 20:33:09,55.3571,78.357,47.79,92,99,17.02
237,Dalby,AU,2022-06-29 20:33:09,-27.1833,151.2667,46.98,95,42,3.11
238,Matagami,CA,2022-06-29 20:33:10,49.7502,-77.6328,62.71,42,100,4.61
239,Askarovo,RU,2022-06-29 20:33:10,53.3372,58.5089,41.95,81,40,6.71
240,Celestun,MX,2022-06-29 20:33:11,20.8667,-90.4,82.99,72,86,9.89
241,Bilma,NE,2022-06-29 20:33:12,18.6853,12.9164,94.12,20,69,7.9
242,Petropavlovsk-Kamchatskiy,RU,2022-06-29 20:31:46,53.0452,158.6483,52.39,76,0,4.47
243,Takefu,JP,2022-06-29 20:33:13,35.9039,136.1669,76.64,80,9,2.71
244,Port Hawkesbury,CA,2022-06-29 20:33:15,45.6169,-61.3485,76.89,41,0,5.01
245,Olafsvik,IS,2022-06-29 20:33:15,64.8945,-23.7142,53.35,82,82,9.01
246,Itupiranga,BR,2022-06-29 20:33:16,-5.1347,-49.3267,89.92,66,59,2.73
247,Kabinda,CD,2022-06-29 20:33:17,-6.1333,24.4833,67.05,51,100,4.0
248,Uglovskoye,RU,2022-06-29 20:33:18,51.3557,80.1942,53.6,57,64,7.47
249,Soyo,AO,2022-06-29 20:33:19,-6.1349,12.3689,72.9,90,99,9.66
250,Savannah Bight,HN,2022-06-29 20:33:20,16.45,-85.85,81.48,79,70,14.99
251,Pauini,BR,2022-06-29 20:33:20,-7.7136,-66.9764,88.52,49,28,1.36
252,Maputo,MZ,2022-06-29 20:33:21,-25.9653,32.5892,62.22,83,0,0.0
253,Mayo,US,2022-06-29 20:33:22,38.8876,-76.5119,90.09,61,20,11.99
254,Erzin,TR,2022-06-29 20:33:23,36.9559,36.2,73.08,74,0,1.01
255,Nantucket,US,2022-06-29 20:33:23,41.2835,-70.0995,75.99,77,0,8.05
256,Jumla,NP,2022-06-29 20:33:24,29.2747,82.1838,63.84,96,100,3.33
257,Nevsehir,TR,2022-06-29 20:33:25,38.9167,34.6667,63.61,68,40,4.61
258,Velikiy Novgorod,RU,2022-06-29 20:33:25,58.5167,31.2833,60.3,56,0,4.79
259,Sorland,NO,2022-06-29 20:33:27,67.667,12.6934,51.66,92,2,4.27
260,Iquitos,PE,2022-06-29 20:33:27,-3.7481,-73.2472,78.84,94,75,6.91
261,Kollo,NE,2022-06-29 20:33:27,13.3043,2.339,82.83,43,64,11.21
262,Amberley,US,2022-06-29 20:33:28,39.2048,-84.428,86.16,33,0,5.75
263,Yorosso,ML,2022-06-29 20:33:29,12.3536,-4.7761,86.59,45,43,4.61
264,Mount Gambier,AU,2022-06-29 20:32:11,-37.8333,140.7667,42.71,100,75,0.0
265,Itarema,BR,2022-06-29 20:33:29,-2.9248,-39.9167,78.67,80,69,13.22
266,Tocopilla,CL,2022-06-29 20:32:17,-22.092,-70.1979,63.7,73,62,2.1
267,Ndele,CF,2022-06-29 20:33:30,8.4109,20.6473,69.96,95,80,1.57
268,Mankapur,IN,2022-06-29 20:33:31,27.0333,82.2333,79.86,83,100,5.08
269,Chunskiy,RU,2022-06-29 20:33:31,56.0815,99.6342,54.84,85,0,2.95
270,Labuhan,ID,2022-06-29 20:33:32,-6.8844,112.2051,74.97,84,23,9.73
271,Del Rio,US,2022-06-29 20:33:32,29.3627,-100.8968,96.91,30,0,13.8
272,Parintins,BR,2022-06-29 20:33:33,-2.6283,-56.7358,83.21,66,93,1.05
273,Longyearbyen,SJ,2022-06-29 20:33:33,78.2186,15.6401,44.44,93,75,3.44
274,Tiksi,RU,2022-06-29 20:33:34,71.6872,128.8694,38.66,75,63,4.32
275,Duku,NG,2022-06-29 20:33:34,11.2361,4.9073,82.99,61,100,3.67
276,Ouango,CF,2022-06-29 20:34:35,4.3133,22.5552,70.81,85,57,1.61
277,Norsup,VU,2022-06-29 20:34:35,-16.0667,167.3833,79.3,80,53,14.45
278,Arraial Do Cabo,BR,2022-06-29 20:34:36,-22.9661,-42.0278,75.16,69,0,8.05
279,Litovko,RU,2022-06-29 20:34:36,49.2361,135.1742,66.6,89,24,2.51
280,Zonguldak,TR,2022-06-29 20:34:36,41.25,31.8333,56.59,95,33,3.02
281,Muroto,JP,2022-06-29 20:34:37,33.2833,134.15,77.61,89,1,7.54
282,Nishihara,JP,2022-06-29 20:34:37,26.1842,127.7558,80.65,89,75,11.5
283,Denpasar,ID,2022-06-29 20:33:05,-8.65,115.2167,78.46,89,40,9.22
284,Korla,CN,2022-06-29 20:34:38,41.7597,86.1469,81.36,31,4,5.99
285,Kaitangata,NZ,2022-06-29 20:34:38,-46.2817,169.8464,42.96,79,100,6.17
286,Geraldton,AU,2022-06-29 20:34:38,-28.7667,114.6,48.61,71,0,8.05
287,Belaya Gora,RU,2022-06-29 20:34:39,68.5333,146.4167,48.2,58,84,10.09
288,Les Cayes,HT,2022-06-29 20:34:39,18.2,-73.75,85.93,64,100,9.8
289,Caravelas,BR,2022-06-29 20:29:51,-17.7125,-39.2481,70.66,78,5,6.62
290,Omboue,GA,2022-06-29 20:34:40,-1.5746,9.2618,72.32,88,99,6.71
291,Gat,IL,2022-06-29 20:34:40,31.61,34.7642,77.81,100,0,6.35
292,Diplo,PK,2022-06-29 20:34:41,24.4667,69.584,84.78,78,95,20.22
293,Pacifica,US,2022-06-29 20:34:22,37.6138,-122.4869,79.0,79,40,12.66
294,Salinopolis,BR,2022-06-29 20:34:42,-0.6136,-47.3561,80.4,81,5,11.54
295,Vinh,VN,2022-06-29 20:34:42,18.6667,105.6667,80.62,77,100,4.94
